Designator,Mid X,Mid Y,Rotation,Layer
RP462,122.3,272.16,270,Top
RP463,126.36,260.22,270,Top
U102,179.45,153.54,270,Top
U103,160.15,152.78,270,Top
U104,191.9,158.37,90,Top
U106,171.32,168.03,270,Top
U130,144.14,68.2,270,Top
U131,119.76,303.91,270,Top
U140,144.14,81.91,270,Top
U141,144.14,96.65,270,Top
U145,219.96,20.83,270,Top
U150,190.37,192.15,0,Top
U152,163.45,200.79,0,Top
U154,217.55,185.55,90,Top
U175,194.94,100.46,270,Top
U176,176.15,100.46,270,Top
U177,18.41,144.14,0,Top
U178,34.16,145.41,270,Top
U198,109.85,317.12,270,Top
U205,80.9,309.75,270,Top
U211,48.13,248.54,270,Top
U212,41.78,217.55,0,Top
U213,22.99,213.99,0,Top
U215,32.89,199.26,270,Top
U216,24.76,183.26,270,Top
U250,90.04,44.83,270,Top
U261,71.56,58.48,270,Top
U300,196.47,286.64,0,Top
U304,158.37,300.35,270,Top
U305,170.05,300.35,270,Top
U311,8.51,34.67,270,Top
U350,224.41,286.13,0,Top
U351,158.37,284.61,270,Top
U352,146.68,284.61,270,Top
U353,146.68,300.35,270,Top
U354,146.94,267.84,270,Top
U355,170.05,284.61,270,Top
U400,36.19,285.11,90,Top
U402,16.13,310.01,270,Top
U403,16.89,330.07,270,Top
U450,101.22,216.79,180,Top
U455,101.98,257.68,270,Top
U456,108.58,273.94,270,Top
U457,112.01,290.07,270,Top
U458,93.09,297.81,270,Top
U459,95.38,284.1,270,Top
U460,74.29,282.32,180,Top
U700,93.34,138.05,0,Top
U701,42.29,170.31,0,Top
U702,114.68,170.31,270,Top
U703,100.46,111.12,270,Top
U704,108.08,187.07,270,Top
U706,85.47,181.99,270,Top
U707,100.46,76.58,270,Top
U708,100.46,92.58,270,Top
U710,67.94,309.75,270,Top
U711,45.34,199.52,270,Top
U714,87.76,163.45,270,Top
U850,20.76,58.48,270,Top
U851,33.46,58.48,270,Top
U852,46.16,58.48,270,Top
U853,58.86,58.48,270,Top
U860,145.92,21.46,0,Top
U890,173.1,38.23,0,Top
U891,41.02,124.33,270,Top
U892,123.82,20.19,0,Top
U893,103.25,16.38,0,Top
U894,85.98,16.38,0,Top
U901,151.51,249.3,0,Top
U902,174.62,248.03,0,Top
U903,197.99,245.49,270,Top
U904,201.55,261.24,270,Top
U907,158.62,267.84,270,Top
U975,18.41,165.99,0,Top
U976,18.41,154.81,0,Top
VC190,44.32,147.95,0,Top
Y176,43.05,142.5,90,Top
