RefDes     X          Y          Rot.       Exact     (FREE)    Side
ER379      6375.0000  12965.0000 000        EXACT     (FREE)    Top                           
ER453      2235.0000  12565.0000 000        EXACT     (FREE)    Top                           
ER458      2935.0000  12585.0000 000        EXACT     (FREE)    Top                           
ER459      3035.0000  12585.0000 000        EXACT     (FREE)    Top                           
ER460      3135.0000  12585.0000 000        EXACT     (FREE)    Top                           
ER461      3235.0000  12585.0000 000        EXACT     (FREE)    Top                           
ER475      3535.0000  12905.0000 000        EXACT     (FREE)    Top                           
ER976      605.0000   9945.0000  180        EXACT     (FREE)    Bottom                        
ER977      605.0000   10145.0000 180        EXACT     (FREE)    Bottom                        
ER978      605.0000   9745.0000  180        EXACT     (FREE)    Bottom                        
ER979      605.0000   9545.0000  180        EXACT     (FREE)    Bottom                        
ER980      605.0000   9445.0000  180        EXACT     (FREE)    Bottom                        
ER981      605.0000   9045.0000  180        EXACT     (FREE)    Bottom                        
ER982      605.0000   9245.0000  180        EXACT     (FREE)    Bottom                        
ER983      605.0000   11445.0000 180        EXACT     (FREE)    Bottom                        
ER984      605.0000   11665.0000 180        EXACT     (FREE)    Bottom                        
ER985      605.0000   11245.0000 180        EXACT     (FREE)    Bottom                        
ER986      605.0000   11045.0000 180        EXACT     (FREE)    Bottom                        
ER987      605.0000   10845.0000 180        EXACT     (FREE)    Bottom                        
ER988      605.0000   10445.0000 180        EXACT     (FREE)    Bottom                        
ER989      605.0000   10645.0000 180        EXACT     (FREE)    Bottom                        
F175       8695.0000  12005.0000 000        EXACT     (FREE)    Top                           
FB177      4075.0000  12905.0000 000        EXACT     (FREE)    Top                           
FB308      9155.0000  12625.0000 000        EXACT     (FREE)    Top                           
FB309      9275.0000  12305.0000 000        EXACT     (FREE)    Top                           
FB364      9005.0000  12275.0000 000        EXACT     (FREE)    Top                           
FB365      6375.0000  12665.0000 000        EXACT     (FREE)    Top                           
FB366      6375.0000  12825.0000 000        EXACT     (FREE)    Top                           
FB401      305.0000   12465.0000 000        EXACT     (FREE)    Top                           
FB410      1295.0000  13045.0000 000        EXACT     (FREE)    Top                           
FB411      1445.0000  13045.0000 000        EXACT     (FREE)    Top                           
FB462      1595.0000  13045.0000 000        EXACT     (FREE)    Top                           
FB463      2075.0000  12555.0000 000        EXACT     (FREE)    Top                           
FB464      2395.0000  12555.0000 000        EXACT     (FREE)    Top                           
FB476      3375.0000  12895.0000 000        EXACT     (FREE)    Top                           
FB710      4595.0000  5025.0000  000        EXACT     (FREE)    Top                           
FB975      335.0000   11745.0000 000        EXACT     (FREE)    Top                           
J100       6705.0000  6245.0000  000        EXACT     (FREE)    Top                           
